Game,Goals,TOI,Shots,Shoot Pct,EV Goals,EV TOI,EV Shots,EV Shoot Pct,PP Goals,PP TOI,PP Shots,PP Shoot Pct
79,0,0:18:57,3,0,0,0:16:26,2,0,0,0:02:26,1,0
80,0,0:19:22,2,0,0,0:17:03,1,0,0,0:02:19,1,0
81,0,0:17:52,3,0,0,0:12:43,3,0,0,0:05:09,0,
82,0,0:17:56,5,0,0,0:15:08,5,0,0,0:02:44,0,
1,3,0:19:11,6,0.5,3,0:17:26,5,0.6,0,0:01:37,1,0
2,4,0:17:44,8,0.5,3,0:13:27,5,0.6,1,0:04:07,3,0.3333333333
3,0,0:17:09,4,0,0,0:12:39,0,,0,0:04:30,4,0
4,1,0:19:36,7,0.1428571429,1,0:12:15,4,0.25,0,0:05:52,3,0
5,1,0:19:00,4,0.25,0,0:12:42,3,0,1,0:06:18,1,1
6,0,0:14:25,6,0,0,0:11:47,4,0,0,0:02:38,2,0
7,0,0:20:44,4,0,0,0:14:03,3,0,0,0:04:57,1,0
8,1,0:19:45,7,0.1428571429,0,0:13:04,3,0,1,0:05:01,4,0.25
9,0,0:17:30,4,0,0,0:13:12,4,0,0,0:01:39,0,
10,0,0:21:32,3,0,0,0:17:12,1,0,0,0:04:20,2,0
11,0,0:16:22,5,0,0,0:16:12,5,0,0,0:00:00,0,
12,0,0:18:41,3,0,0,0:13:58,1,0,0,0:03:54,2,0
13,0,0:20:08,2,0,0,0:13:23,2,0,0,0:06:05,0,
14,1,0:17:21,4,0.25,1,0:13:55,3,0.3333333333,0,0:03:26,1,0
15,1,0:20:49,6,0.1666666667,0,0:13:48,3,0,1,0:07:01,3,0.3333333333
16,1,0:19:34,5,0.2,1,0:17:24,5,0.2,0,0:01:27,0,
17,0,0:21:38,2,0,0,0:15:12,1,0,0,0:06:26,1,0
18,0,0:23:48,0,,0,0:20:23,0,,0,0:03:25,0,
19,0,0:20:31,8,0,0,0:17:03,6,0,0,0:03:25,2,0
20,0,0:16:49,4,0,0,0:10:00,0,,0,0:06:40,4,0
21,0,0:16:46,4,0,0,0:10:55,3,0,0,0:05:49,1,0
22,0,0:19:30,5,0,0,0:12:02,2,0,0,0:05:30,3,0
23,1,0:17:05,3,0.3333333333,1,0:16:17,3,0.3333333333,0,0:00:48,0,
24,1,0:18:19,9,0.1111111111,1,0:12:55,5,0.2,0,0:05:24,4,0
25,3,0:18:44,4,0.75,2,0:15:08,2,1,1,0:03:14,2,0.5
26,0,0:21:47,4,0,0,0:16:55,3,0,0,0:03:51,1,0
27,1,0:17:27,4,0.25,0,0:15:49,3,0,1,0:01:26,1,1
28,1,0:22:29,4,0.25,1,0:14:13,2,0.5,0,0:07:30,2,0
29,1,0:16:55,6,0.1666666667,1,0:13:45,4,0.25,0,0:03:10,2,0
30,0,0:20:31,5,0,0,0:14:44,3,0,0,0:04:56,2,0
31,0,0:22:26,6,0,0,0:15:55,4,0,0,0:03:18,2,0
32,0,0:15:18,2,0,0,0:14:40,2,0,0,0:00:15,0,
33,1,0:20:45,4,0.25,1,0:13:55,3,0.3333333333,0,0:05:52,1,0
34,1,0:22:49,4,0.25,1,0:22:49,4,0.25,0,0:00:00,0,
35,0,0:19:51,4,0,0,0:13:52,2,0,0,0:05:50,2,0
36,0,0:21:21,2,0,0,0:17:53,1,0,0,0:03:28,1,0
37,0,0:20:23,3,0,0,0:14:39,2,0,0,0:05:38,1,0
38,0,0:21:18,4,0,0,0:17:37,3,0,0,0:03:41,1,0
39,1,0:23:00,4,0.25,0,0:15:50,2,0,1,0:07:10,2,0.5
40,0,0:20:00,6,0,0,0:16:28,3,0,0,0:02:55,3,0
41,2,0:20:01,2,1,2,0:16:01,2,1,0,0:04:00,0,
42,1,0:22:50,2,0.5,0,0:17:23,1,0,1,0:04:59,1,1
43,0,0:19:25,2,0,0,0:14:14,2,0,0,0:03:23,0,
44,0,0:22:40,5,0,0,0:15:33,3,0,0,0:04:31,2,0
45,1,0:22:34,3,0.3333333333,1,0:15:31,0,,0,0:06:56,3,0
46,0,0:21:48,2,0,0,0:13:20,0,,0,0:08:28,2,0
47,0,0:21:06,1,0,0,0:13:41,0,,0,0:05:10,1,0
48,1,0:18:05,4,0.25,0,0:13:26,3,0,1,0:04:39,1,1
49,1,0:24:54,8,0.125,1,0:14:42,4,0.25,0,0:08:55,4,0
50,0,0:23:40,2,0,0,0:17:58,2,0,0,0:04:00,0,
51,2,0:19:51,5,0.4,2,0:14:30,2,1,0,0:05:21,3,0
52,0,0:21:14,1,0,0,0:16:05,1,0,0,0:03:42,0,
53,0,0:18:49,8,0,0,0:17:11,7,0,0,0:01:16,1,0
54,0,0:20:45,0,,0,0:14:12,0,,0,0:06:15,0,
55,1,0:20:43,3,0.3333333333,0,0:15:57,1,0,1,0:02:42,2,0.5
56,0,0:20:50,5,0,0,0:17:02,4,0,0,0:03:22,1,0
57,1,0:17:48,7,0.1428571429,1,0:13:48,5,0.2,0,0:03:12,2,0
58,0,0:18:22,0,,0,0:16:35,0,,0,0:01:43,0,
59,1,0:17:54,3,0.3333333333,1,0:16:24,3,0.3333333333,0,0:01:01,0,
60,1,0:23:14,9,0.1111111111,1,0:17:27,8,0.125,0,0:03:36,1,0
61,0,0:21:47,5,0,0,0:16:52,5,0,0,0:04:26,0,
62,2,0:18:53,11,0.1818181818,1,0:18:13,10,0.1,1,0:00:40,1,1
63,1,0:22:08,8,0.125,0,0:16:35,5,0,1,0:03:49,3,0.3333333333
64,0,0:18:27,1,0,0,0:14:36,1,0,0,0:03:51,0,
65,1,0:19:31,3,0.3333333333,1,0:17:28,3,0.3333333333,0,0:01:59,0,
66,0,0:24:38,2,0,0,0:17:31,2,0,0,0:05:51,0,
67,0,0:24:25,3,0,0,0:16:43,3,0,0,0:05:43,0,
68,0,0:16:54,6,0,0,0:16:51,6,0,0,0:00:00,0,
69,2,0:23:07,8,0.25,1,0:17:19,3,0.3333333333,1,0:05:48,5,0.2
70,0,0:18:44,2,0,0,0:16:54,2,0,0,0:01:47,0,
71,0,0:22:06,3,0,0,0:13:03,2,0,0,0:09:00,1,0
72,1,0:18:48,2,0.5,1,0:14:39,2,0.5,0,0:02:50,0,
73,1,0:22:13,6,0.1666666667,0,0:17:55,5,0,1,0:03:56,1,1
74,0,0:23:01,4,0,0,0:15:46,2,0,0,0:05:51,2,0
75,0,0:19:38,4,0,0,0:16:01,3,0,0,0:02:42,1,0
76,1,0:17:41,8,0.125,0,0:12:00,5,0,1,0:04:57,3,0.3333333333
77,0,0:20:22,5,0,0,0:14:12,4,0,0,0:05:41,1,0
78,0,0:21:16,2,0,0,0:17:58,1,0,0,0:02:50,1,0
79,0,0:22:47,4,0,0,0:14:23,1,0,0,0:07:35,3,0
80,1,0:16:56,5,0.2,0,0:13:39,4,0,1,0:02:21,1,1
81,1,0:21:54,4,0.25,0,0:14:53,2,0,1,0:04:44,2,0.5
82,2,0:21:00,8,0.25,2,0:17:16,6,0.3333333333,0,0:03:44,2,0
1,1,0:16:27,5,0.2,0,0:12:03,3,0,1,0:04:24,2,0.5
2,1,0:20:07,3,0.3333333333,1,0:16:18,2,0.5,0,0:03:49,1,0
3,2,0:17:59,7,0.2857142857,2,0:11:54,5,0.4,0,0:05:59,2,0
4,0,0:23:57,2,0,0,0:17:45,1,0,0,0:06:12,1,0
5,0,0:21:34,2,0,0,0:17:39,1,0,0,0:03:55,1,0
6,2,0:23:28,6,0.3333333333,0,0:16:56,2,0,2,0:06:32,4,0.5
7,0,0:22:50,2,0,0,0:18:15,1,0,0,0:04:16,1,0
8,2,0:17:36,7,0.2857142857,1,0:11:58,3,0.3333333333,1,0:05:38,4,0.25
9,0,0:16:47,3,0,0,0:16:00,3,0,0,0:00:47,0,
10,0,0:19:45,2,0,0,0:17:00,1,0,0,0:02:45,1,0
11,2,0:18:35,4,0.5,2,0:16:44,4,0.5,0,0:01:51,0,
12,0,0:24:28,4,0,0,0:19:10,3,0,0,0:05:18,1,0
13,1,0:19:52,3,0.3333333333,0,0:17:07,2,0,1,0:02:45,1,1
14,1,0:24:32,3,0.3333333333,0,0:13:52,0,,1,0:10:40,3,0.3333333333
15,0,0:23:19,2,0,0,0:15:45,2,0,0,0:07:34,0,
16,0,0:21:25,2,0,0,0:18:11,2,0,0,0:03:14,0,
17,0,0:16:51,2,0,0,0:13:11,1,0,0,0:03:40,1,0
18,0,0:24:21,9,0,0,0:18:49,3,0,0,0:05:32,6,0
19,1,0:23:55,7,0.1428571429,1,0:18:36,4,0.25,0,0:05:19,3,0
20,2,0:21:53,5,0.4,1,0:19:23,4,0.25,1,0:02:30,1,1
21,0,0:22:21,2,0,0,0:18:38,2,0,0,0:03:43,0,
22,1,0:22:00,3,0.3333333333,1,0:16:54,2,0.5,0,0:05:06,1,0
23,1,0:21:10,2,0.5,1,0:17:56,2,0.5,0,0:03:14,0,
24,1,0:19:20,3,0.3333333333,1,0:17:00,1,1,0,0:02:17,2,0
25,1,0:21:29,4,0.25,1,0:16:20,3,0.3333333333,0,0:05:09,1,0
26,0,0:24:13,6,0,0,0:17:25,3,0,0,0:06:48,3,0
27,1,0:21:57,3,0.3333333333,1,0:13:15,3,0.3333333333,0,0:08:42,0,
28,1,0:17:48,4,0.25,1,0:16:30,4,0.25,0,0:01:18,0,
29,1,0:20:07,5,0.2,1,0:14:38,4,0.25,0,0:05:29,1,0
30,3,0:19:38,4,0.75,3,0:17:33,3,1,0,0:02:05,1,0
31,3,0:21:10,5,0.6,2,0:19:38,4,0.5,1,0:01:32,1,1
32,1,0:25:34,8,0.125,1,0:18:10,5,0.2,0,0:07:24,3,0
33,0,0:25:14,5,0,0,0:17:12,4,0,0,0:08:02,1,0
34,0,0:20:21,1,0,0,0:13:00,1,0,0,0:07:21,0,
35,0,0:20:20,6,0,0,0:16:16,3,0,0,0:04:04,3,0
36,0,0:21:08,4,0,0,0:14:35,2,0,0,0:06:33,2,0
37,0,0:18:58,2,0,0,0:18:58,2,0,0,0:00:00,0,
38,0,0:21:04,4,0,0,0:19:04,2,0,0,0:02:00,2,0
39,1,0:19:32,3,0.3333333333,1,0:14:10,2,0.5,0,0:05:22,1,0
40,0,0:22:13,6,0,0,0:16:38,1,0,0,0:05:35,5,0
41,0,0:20:57,4,0,0,0:14:37,4,0,0,0:06:20,0,
42,0,0:22:30,5,0,0,0:15:44,4,0,0,0:06:44,1,0
43,2,0:20:58,5,0.4,2,0:18:02,4,0.5,0,0:02:56,1,0
44,0,0:21:16,2,0,0,0:20:13,2,0,0,0:01:03,0,
45,1,0:21:23,3,0.3333333333,0,0:16:58,2,0,1,0:04:25,1,1
46,0,0:18:57,4,0,0,0:16:03,3,0,0,0:02:54,1,0
47,0,0:19:48,3,0,0,0:16:03,2,0,0,0:03:45,1,0
48,0,0:19:36,2,0,0,0:16:16,1,0,0,0:03:20,1,0
49,3,0:20:28,5,0.6,2,0:17:41,4,0.5,1,0:02:47,1,1
50,1,0:19:59,3,0.3333333333,1,0:18:01,3,0.3333333333,0,0:01:58,0,
51,0,0:24:17,3,0,0,0:19:43,3,0,0,0:04:27,0,
52,0,0:18:27,3,0,0,0:17:03,1,0,0,0:01:24,2,0
53,0,0:25:22,7,0,0,0:14:02,3,0,0,0:11:20,4,0
54,0,0:19:01,2,0,0,0:17:10,2,0,0,0:01:51,0,
55,1,0:16:21,8,0.125,0,0:09:56,2,0,1,0:06:25,6,0.1666666667
56,0,0:21:08,2,0,0,0:19:40,2,0,0,0:01:28,0,
57,1,0:18:38,4,0.25,1,0:13:07,3,0.3333333333,0,0:05:31,1,0
58,1,0:22:28,7,0.1428571429,1,0:16:38,4,0.25,0,0:05:50,3,0
59,2,0:18:51,3,0.6666666667,0,0:17:08,1,0,2,0:01:43,2,1
60,1,0:18:21,3,0.3333333333,0,0:14:26,2,0,1,0:03:55,1,1
61,1,0:22:20,8,0.125,1,0:18:26,7,0.1428571429,0,0:03:54,1,0
62,0,0:19:56,3,0,0,0:14:37,3,0,0,0:05:19,0,
63,0,0:16:02,6,0,0,0:15:24,6,0,0,0:00:38,0,
64,1,0:19:59,5,0.2,0,0:18:38,4,0,1,0:01:21,1,1
65,0,0:23:35,6,0,0,0:16:36,2,0,0,0:06:59,4,0
66,1,0:19:11,1,1,0,0:14:57,0,,1,0:04:14,1,1
67,0,0:20:34,5,0,0,0:14:02,3,0,0,0:06:32,2,0
68,0,0:19:12,1,0,0,0:15:42,1,0,0,0:03:30,0,
69,0,0:19:01,5,0,0,0:16:12,2,0,0,0:02:49,3,0
70,0,0:16:25,5,0,0,0:12:04,2,0,0,0:04:21,3,0
71,2,0:25:57,7,0.2857142857,1,0:18:55,4,0.25,1,0:07:02,3,0.3333333333
72,0,0:18:26,0,,0,0:16:46,0,,0,0:01:40,0,
73,0,0:27:34,11,0,0,0:16:02,6,0,0,0:11:32,5,0
74,0,0:22:42,1,0,0,0:16:50,1,0,0,0:05:52,0,
75,0,0:20:49,6,0,0,0:17:12,4,0,0,0:03:37,2,0
76,1,0:20:48,5,0.2,1,0:17:17,4,0.25,0,0:03:31,1,0
77,0,0:22:10,4,0,0,0:20:10,4,0,0,0:02:00,0,
78,2,0:22:28,8,0.25,1,0:14:22,4,0.25,1,0:08:06,4,0.25
79,0,0:22:42,6,0,0,0:18:42,6,0,0,0:04:00,0,
80,0,0:18:00,5,0,0,0:16:00,5,0,0,0:02:00,0,
81,0,0:22:42,2,0,0,0:18:48,2,0,0,0:03:54,0,
1,1,0:23:50,5,0.2,1,0:18:33,5,0.2,0,0:05:17,0,
2,0,0:20:08,2,0,0,0:18:01,2,0,0,0:02:07,0,
3,0,0:22:53,7,0,0,0:12:10,4,0,0,0:10:43,2,0
4,0,0:23:43,6,0,0,0:16:07,4,0,0,0:07:36,2,0
5,2,0:19:45,2,1,0,0:16:31,0,,2,0:03:14,2,1
6,1,0:17:11,2,0.5,1,0:13:14,1,1,0,0:03:51,0,
7,1,0:21:42,6,0.1666666667,1,0:18:47,4,0.25,0,0:02:55,0,
8,0,0:21:41,2,0,0,0:15:51,2,0,0,0:05:50,0,
9,0,0:21:20,8,0,0,0:16:54,7,0,0,0:04:26,1,0
10,1,0:17:24,5,0.2,1,0:17:16,5,0.2,0,0:00:08,0,
11,1,0:19:40,5,0.2,1,0:13:55,2,0.5,0,0:05:45,3,0
12,2,0:22:39,9,0.2222222222,1,0:19:38,6,0.1666666667,1,0:03:01,3,0.3333333333
13,0,0:20:50,1,0,0,0:16:52,1,0,0,0:03:58,0,
14,2,0:25:53,10,0.2,1,0:13:21,3,0.3333333333,1,0:12:32,7,0.1428571429
15,0,0:18:12,2,0,0,0:16:36,2,0,0,0:01:36,0,
