Game,Goals,TOI,Shots,Shoot Pct,EV Goals,EV TOI,EV Shots,EV Shoot Pct,PP Goals,PP TOI,PP Shots,PP Shoot Pct
201710,0,1292,3,0,0,1032,1,0,0,260,2,0
201711,0,982,5,0,0,972,5,0,0,0,0,
201712,0,1121,3,0,0,838,1,0,0,234,2,0
201713,0,1208,2,0,0,803,2,0,0,365,0,
201714,1,1041,4,0.25,1,835,3,0.3333333333,0,206,1,0
201715,1,1249,6,0.1666666667,0,828,3,0,1,421,3,0.3333333333
201716,1,1174,5,0.2,1,1044,5,0.2,0,87,0,
201717,0,1298,2,0,0,912,1,0,0,386,1,0
201718,0,1428,0,,0,1223,0,,0,205,0,
201719,0,1231,8,0,0,1023,6,0,0,205,2,0
201720,0,1009,4,0,0,600,0,,0,400,4,0
201721,0,1006,4,0,0,655,3,0,0,349,1,0
201722,0,1170,5,0,0,722,2,0,0,330,3,0
201723,1,1025,3,0.3333333333,1,977,3,0.3333333333,0,48,0,
201724,1,1099,9,0.1111111111,1,775,5,0.2,0,324,4,0
201725,3,1124,4,0.75,2,908,2,1,1,194,2,0.5
201726,0,1307,4,0,0,1015,3,0,0,231,1,0
201727,1,1047,4,0.25,0,949,3,0,1,86,1,1
201728,1,1349,4,0.25,1,853,2,0.5,0,450,2,0
201729,1,1015,6,0.1666666667,1,825,4,0.25,0,190,2,0
201730,0,1231,5,0,0,884,3,0,0,296,2,0
201731,0,1346,6,0,0,955,4,0,0,198,2,0
201732,0,918,2,0,0,880,2,0,0,15,0,
201733,1,1245,4,0.25,1,835,3,0.3333333333,0,352,1,0
201734,1,1369,4,0.25,1,1369,4,0.25,0,0,0,
201735,0,1191,4,0,0,832,2,0,0,350,2,0
201736,0,1281,2,0,0,1073,1,0,0,208,1,0
201737,0,1223,3,0,0,879,2,0,0,338,1,0
201738,0,1278,4,0,0,1057,3,0,0,221,1,0
201739,1,1380,4,0.25,0,950,2,0,1,430,2,0.5
201740,0,1200,6,0,0,988,3,0,0,175,3,0
201741,2,1201,2,1,2,961,2,1,0,240,0,
201742,1,1370,2,0.5,0,1043,1,0,1,299,1,1
201743,0,1165,2,0,0,854,2,0,0,203,0,
201744,0,1360,5,0,0,933,3,0,0,271,2,0
201745,1,1354,3,0.3333333333,1,931,0,,0,416,3,0
201746,0,1308,2,0,0,800,0,,0,508,2,0
201747,0,1266,1,0,0,821,0,,0,310,1,0
201748,1,1085,4,0.25,0,806,3,0,1,279,1,1
201749,1,1494,8,0.125,1,882,4,0.25,0,535,4,0
201750,0,1420,2,0,0,1078,2,0,0,240,0,
201751,2,1191,5,0.4,2,870,2,1,0,321,3,0
201752,0,1274,1,0,0,965,1,0,0,222,0,
201753,0,1129,8,0,0,1031,7,0,0,76,1,0
201754,0,1245,0,,0,852,0,,0,375,0,
201755,1,1243,3,0.3333333333,0,957,1,0,1,162,2,0.5
201756,0,1250,5,0,0,1022,4,0,0,202,1,0
201757,1,1068,7,0.1428571429,1,828,5,0.2,0,192,2,0
201758,0,1102,0,,0,995,0,,0,103,0,
201759,1,1074,3,0.3333333333,1,984,3,0.3333333333,0,61,0,
201760,1,1394,9,0.1111111111,1,1047,8,0.125,0,216,1,0
201761,0,1307,5,0,0,1012,5,0,0,266,0,
201762,2,1133,11,0.1818181818,1,1093,10,0.1,1,40,1,1
201763,1,1328,8,0.125,0,995,5,0,1,229,3,0.3333333333
201764,0,1107,1,0,0,876,1,0,0,231,0,
201765,1,1171,3,0.3333333333,1,1048,3,0.3333333333,0,119,0,
201766,0,1478,2,0,0,1051,2,0,0,351,0,
201767,0,1465,3,0,0,1003,3,0,0,343,0,
201768,0,1014,6,0,0,1011,6,0,0,0,0,
201769,2,1387,8,0.25,1,1039,3,0.3333333333,1,348,5,0.2
201770,0,1124,2,0,0,1014,2,0,0,107,0,
201771,0,1326,3,0,0,783,2,0,0,540,1,0
201772,1,1128,2,0.5,1,879,2,0.5,0,170,0,
201773,1,1333,6,0.1666666667,0,1075,5,0,1,236,1,1
201774,0,1381,4,0,0,946,2,0,0,351,2,0
201775,0,1178,4,0,0,961,3,0,0,162,1,0
201776,1,1061,8,0.125,0,720,5,0,1,297,3,0.3333333333
201777,0,1222,5,0,0,852,4,0,0,341,1,0
201778,0,1276,2,0,0,1078,1,0,0,170,1,0
201779,0,1367,4,0,0,863,1,0,0,455,3,0
