Game,Goals,TOI,Shots,Shoot Pct,EV Goals,EV TOI,EV Shots,EV Shoot Pct,PP Goals,PP TOI,PP Shots,PP Shoot Pct
201601,0,0:22:28,5,0,0,0:17:41,4,0,0,0:04:31,1,0
201602,0,0:19:07,3,0,0,0:10:43,1,0,0,0:08:06,2,0
201603,1,0:18:11,5,0.2,0,0:12:12,3,0,1,0:05:59,2,0.5
201604,1,0:16:42,2,0.5,1,0:14:50,2,0.5,0,0:01:47,0,
201605,1,0:19:44,6,0.1666666667,1,0:16:15,6,0.1666666667,0,0:01:58,0,
201606,1,0:18:40,4,0.25,1,0:13:56,2,0.5,0,0:04:43,2,0
201607,0,0:15:58,4,0,0,0:13:50,4,0,0,0:02:08,0,
201608,0,0:15:05,3,0,0,0:12:46,2,0,0,0:02:19,1,0
201609,0,0:18:31,3,0,0,0:15:07,2,0,0,0:03:23,1,0
201610,2,0:19:44,8,0.25,1,0:14:27,3,0.3333333333,1,0:05:17,5,0.2
201611,1,0:19:28,6,0.1666666667,1,0:11:48,3,0.3333333333,0,0:07:25,3,0
201612,0,0:21:12,4,0,0,0:15:15,2,0,0,0:04:28,2,0
201613,0,0:17:29,1,0,0,0:17:10,1,0,0,0:00:00,0,
201614,0,0:20:30,5,0,0,0:16:12,4,0,0,0:03:51,1,0
201615,0,0:14:12,4,0,0,0:11:20,3,0,0,0:02:52,1,0
201616,1,0:18:38,3,0.3333333333,1,0:12:36,1,1,0,0:06:02,2,0
201617,0,0:19:00,4,0,0,0:15:25,4,0,0,0:02:57,0,
201618,1,0:17:44,5,0.2,0,0:15:49,4,0,1,0:01:13,1,1
201619,3,0:15:29,5,0.6,2,0:12:00,3,0.6666666667,1,0:03:29,2,0.5
201620,0,0:15:24,3,0,0,0:10:44,1,0,0,0:04:40,2,0
201621,0,0:22:22,3,0,0,0:13:11,1,0,0,0:07:05,2,0
201622,0,0:24:47,4,0,0,0:12:15,2,0,0,0:09:29,2,0
201623,0,0:22:24,4,0,0,0:14:54,4,0,0,0:06:23,0,
201624,0,0:21:57,1,0,0,0:18:15,1,0,0,0:02:58,0,
201625,0,0:17:33,3,0,0,0:15:27,3,0,0,0:02:06,0,
201626,0,0:16:45,6,0,0,0:12:07,5,0,0,0:04:29,1,0
201627,1,0:17:05,5,0.2,0,0:13:32,4,0,1,0:03:33,1,1
201628,0,0:16:01,2,0,0,0:13:01,2,0,0,0:03:00,0,
201629,1,0:19:41,6,0.1666666667,0,0:16:32,4,0,1,0:03:09,2,0.5
201630,0,0:19:59,3,0,0,0:14:57,3,0,0,0:02:58,0,
201631,0,0:19:57,2,0,0,0:17:53,1,0,0,0:02:00,1,0
201632,1,0:16:40,3,0.3333333333,1,0:13:28,2,0.5,0,0:03:12,1,0
201633,1,0:20:00,9,0.1111111111,1,0:12:29,6,0.1666666667,0,0:05:18,3,0
201634,0,0:19:11,4,0,0,0:13:13,3,0,0,0:05:58,1,0
201635,1,0:16:17,2,0.5,1,0:15:19,2,0.5,0,0:00:58,0,
201636,0,0:17:29,2,0,0,0:14:09,2,0,0,0:03:00,0,
