Date,Venue,Initialism,Nickname,Longform
10/2,away,STL,Blues,St Louis Blues
10/4,away,NYI,Islanders,New York Islanders
10/5,home,CAR,Hurricanes,Carolina Hurricanes
10/8,home,DAL,Stars,Dallas Stars
10/10,away,NSH,Predators,Nashville Predators
10/12,away,DAL,Stars,Dallas Stars
10/14,home,COL,Avalanche,Colorado Avalanche
10/16,home,TOR,Maple Leafs,Toronto Maple Leafs
10/18,home,NYR,Rangers,New York Rangers
10/20,away,CHI,Blackhawks,Chicago Blackhawks
10/22,away,CGY,Flames,Calgary Flames
10/24,away,EDM,Oilers,Edmonton Oilers
10/25,away,VAN,Canucks,Vancouver Canucks
10/29,away,TOR,Maple Leafs,Toronto Maple Leafs
11/1,home,BUF,Sabres,Buffalo Sabres
11/3,home,CGY,Flames,Calgary Flames
11/7,away,FLA,Panthers,Florida Panthers
11/9,home,VGK,Golden Knights,Vegas Golden Knights
11/11,home,ARI,Coyotes,Arizona Coyotes
11/13,away,PHI,Flyers,Philadelphia Flyers
11/15,home,MTL,Canadiens,Montreal Canadiens
11/16,away,BOS,Bruins,Boston Bruins
11/18,home,ANA,Ducks,Anaheim Ducks
11/20,away,NYR,Rangers,New York Rangers
11/23,home,VAN,Canucks,Vancouver Canucks
11/27,home,FLA,Panthers,Florida Panthers
11/29,home,TBL,Lightning,Tampa Bay Lightning
11/30,away,DET,Red Wings,Detroit Red Wings
12/3,away,SJS,Sharks,San Jose Sharks
12/4,away,LAK,Kings,Los Angeles Kings
12/6,away,ANA,Ducks,Anaheim Ducks
12/9,home,CBJ,Blue Jackets,Columbus Blue Jackets
12/11,home,BOS,Bruins,Boston Bruins
12/14,away,TBL,Lightning,Tampa Bay Lightning
12/16,away,CBJ,Blue Jackets,Columbus Blue Jackets
12/20,away,NJD,Devils,New Jersey Devils
12/21,home,TBL,Lightning,Tampa Bay Lightning
12/23,away,BOS,Bruins,Boston Bruins
12/27,home,CBJ,Blue Jackets,Columbus Blue Jackets
12/28,away,CAR,Hurricanes,Carolina Hurricanes
12/31,home,NYI,Islanders,New York Islanders
1/3,away,CAR,Hurricanes,Carolina Hurricanes
1/5,home,SJS,Sharks,San Jose Sharks
1/7,home,OTT,Senators,Ottawa Senators
1/8,away,PHI,Flyers,Philadelphia Flyers
1/11,home,NJD,Devils,New Jersey Devils
1/13,home,CAR,Hurricanes,Carolina Hurricanes
1/16,home,NJD,Devils,New Jersey Devils
1/18,away,NYI,Islanders,New York Islanders
1/27,away,MTL,Canadiens,Montreal Canadiens
1/29,home,NSH,Predators,Nashville Predators
1/31,away,OTT,Senators,Ottawa Senators
2/2,home,PIT,Penguins,Pittsburgh Penguins
2/4,home,LAK,Kings,Los Angeles Kings
2/8,home,PHI,Flyers,Philadelphia Flyers
2/10,home,NYI,Islanders,New York Islanders
2/13,away,COL,Avalanche,Colorado Avalanche
2/15,away,ARI,Coyotes,Arizona Coyotes
2/17,away,VGK,Golden Knights,Vegas Golden Knights
2/20,home,MTL,Canadiens,Montreal Canadiens
2/22,away,NJD,Devils,New Jersey Devils
2/23,home,PIT,Penguins,Pittsburgh Penguins
2/25,home,WPG,Jets,Winnipeg Jets
2/27,away,WPG,Jets,Winnipeg Jets
3/1,away,MIN,Wild,Minnesota Wild
3/4,home,PHI,Flyers,Philadelphia Flyers
3/5,away,NYR,Rangers,New York Rangers
3/7,away,PIT,Penguins,Pittsburgh Penguins
3/9,away,BUF,Sabres,Buffalo Sabres
3/12,home,DET,Red Wings,Detroit Red Wings
3/14,home,CHI,Blackhawks,Chicago Blackhawks
3/16,home,EDM,Oilers,Edmonton Oilers
3/19,away,CBJ,Blue Jackets,Columbus Blue Jackets
3/20,home,OTT,Senators,Ottawa Senators
3/22,away,PIT,Penguins,Pittsburgh Penguins
3/24,home,STL,Blues,St Louis Blues
3/26,home,NYR,Rangers,New York Rangers
3/28,away,DET,Red Wings,Detroit Red Wings
3/30,away,BUF,Sabres,Buffalo Sabres
3/31,home,TOR,Maple Leafs,Toronto Maple Leafs
4/2,home,MIN,Wild,Minnesota Wild
4/4,away,FLA,Panthers,Florida Panthers
