Date,Venue,Initialism,Nickname,Longform
10/12,home,BOS,Bruins,Boston Bruins
10/13,away,TOR,Maple Leafs,Toronto Maple Leafs
10/15,home,MTL,Canadiens,Montreal Canadiens
10/17,home,VAN,Canucks,Vancouver Canucks
10/20,away,OTT,Senators,Ottawa Senators
10/22,home,LAK,Kings,Los Angeles Kings
10/24,away,NJD,Devils,New Jersey Devils
10/27,away,DAL,Stars,Dallas Stars
10/29,away,NSH,Predators,Nashville Predators
10/31,away,CAR,Hurricanes,Carolina Hurricanes
11/1,home,VGK,Golden Knights,Vegas Golden Knights
11/3,away,DET,Red Wings,Detroit Red Wings
11/5,home,ARI,Coyotes,Arizona Coyotes
11/7,home,EDM,Oilers,Edmonton Oilers
11/9,home,PIT,Penguins,Pittsburgh Penguins
11/11,home,TBL,Lightning,Tampa Bay Lightning
11/13,away,TBL,Lightning,Tampa Bay Lightning
11/15,away,FLA,Panthers,Florida Panthers
11/17,away,STL,Blues,St Louis Blues
11/19,home,COL,Avalanche,Colorado Avalanche
11/23,home,PHI,Flyers,Philadelphia Flyers
11/25,home,CGY,Flames,Calgary Flames
11/26,away,NJD,Devils,New Jersey Devils
11/29,away,VAN,Canucks,Vancouver Canucks
12/1,away,SEA,Kraken,Seattle Kraken
12/3,away,CGY,Flames,Calgary Flames
12/5,away,EDM,Oilers,Edmonton Oilers
12/7,away,PHI,Flyers,Philadelphia Flyers
12/9,home,SEA,Kraken,Seattle Kraken
12/11,away,WPG,Jets,Winnipeg Jets
12/13,away,CHI,Blackhawks,Chicago Blackhawks
12/15,home,DAL,Stars,Dallas Stars
12/17,home,TOR,Maple Leafs,Toronto Maple Leafs
12/19,home,DET,Red Wings,Detroit Red Wings
12/22,away,OTT,Senators,Ottawa Senators
12/23,home,WPG,Jets,Winnipeg Jets
12/27,away,NYR,Rangers,New York Rangers
12/29,home,OTT,Senators,Ottawa Senators
12/31,home,MTL,Canadiens,Montreal Canadiens
1/3,home,BUF,Sabres,Buffalo Sabres
1/5,away,CBJ,Blue Jackets,Columbus Blue Jackets
1/6,home,NSH,Predators,Nashville Predators
1/8,home,CBJ,Blue Jackets,Columbus Blue Jackets
1/11,away,PHI,Flyers,Philadelphia Flyers
1/14,home,PHI,Flyers,Philadelphia Flyers
1/16,away,NYI,Islanders,New York Islanders
1/17,home,MIN,Wild,Minnesota Wild
1/19,away,ARI,Coyotes,Arizona Coyotes
1/21,away,VGK,Golden Knights,Vegas Golden Knights
1/24,away,COL,Avalanche,Colorado Avalanche
1/26,home,PIT,Penguins,Pittsburgh Penguins
1/29,away,TOR,Maple Leafs,Toronto Maple Leafs
1/31,away,CBJ,Blue Jackets,Columbus Blue Jackets
2/11,away,BOS,Bruins,Boston Bruins
2/12,home,SJS,Sharks,San Jose Sharks
2/14,home,CAR,Hurricanes,Carolina Hurricanes
2/16,home,FLA,Panthers,Florida Panthers
2/18,away,CAR,Hurricanes,Carolina Hurricanes
2/21,home,DET,Red Wings,Detroit Red Wings
2/23,home,ANA,Ducks,Anaheim Ducks
2/25,home,NYR,Rangers,New York Rangers
2/26,away,BUF,Sabres,Buffalo Sabres
3/1,away,ANA,Ducks,Anaheim Ducks
3/4,away,SJS,Sharks,San Jose Sharks
3/6,away,LAK,Kings,Los Angeles Kings
3/9,home,NJD,Devils,New Jersey Devils
3/11,away,NYI,Islanders,New York Islanders
3/14,away,NYR,Rangers,New York Rangers
3/15,home,BUF,Sabres,Buffalo Sabres
3/17,home,STL,Blues,St Louis Blues
3/19,away,MIN,Wild,Minnesota Wild
3/21,home,CBJ,Blue Jackets,Columbus Blue Jackets
3/23,home,CHI,Blackhawks,Chicago Blackhawks
3/25,away,PIT,Penguins,Pittsburgh Penguins
3/29,home,NYI,Islanders,New York Islanders
3/30,away,TBL,Lightning,Tampa Bay Lightning
4/2,home,NYR,Rangers,New York Rangers
4/6,away,MTL,Canadiens,Montreal Canadiens
4/8,home,FLA,Panthers,Florida Panthers
4/10,home,NYI,Islanders,New York Islanders
4/11,away,BOS,Bruins,Boston Bruins
4/13,home,NJD,Devils,New Jersey Devils
